lat,lng,height
35.03610,-118.22679,878.68
35.03469,-118.22979,882.28
35.02660,-118.23099,883.93
35.03469,-118.24719,918.17
35.01210,-118.22379,871.93
35.03270,-118.23679,893.19
35.01289,-118.26219,939.47
35.00520,-118.26839,938.64
35.00950,-118.22388,871.23
35.01270,-118.29859,982.31
35.03419,-118.23138,883.14
35.00959,-118.26379,939.51
35.03709,-118.24367,913.32
35.00950,-118.23389,888.46
35.01070,-118.26329,939.53
35.00740,-118.26499,938.52
35.01979,-118.26879,959.50
35.00829,-118.26409,938.55
35.03330,-118.23479,888.53
35.01910,-118.26999,962.15
35.00520,-118.30369,968.91
35.03389,-118.24829,919.13
35.01179,-118.26279,939.69
35.01680,-118.29509,991.83
35.00140,-118.30719,972.19
35.02949,-118.25748,940.28
35.00819,-118.22388,870.48
35.00420,-118.30459,970.51
35.02159,-118.26499,953.18
35.00600,-118.26739,938.77
35.01089,-118.30049,979.61
35.01170,-118.29939,979.95
35.03579,-118.25479,941.42
35.03160,-118.22586,873.28
35.03190,-118.25689,940.34
35.01871,-118.22346,870.18
35.02959,-118.22809,878.05
35.01339,-118.22369,871.88
34.99997,-118.31257,986.69
35.01310,-118.27859,964.96
35.01059,-118.28168,960.66
35.02280,-118.24939,918.74
34.99900,-118.31359,988.14
35.01389,-118.27749,964.86
35.02510,-118.25779,938.67
35.01960,-118.25919,938.93
35.01020,-118.30228,976.98
35.00330,-118.30539,971.32
26.53953,-97.66354,-17.92
34.99739,-118.31569,992.93
26.50605,-97.67477,-18.12
26.53100,-97.61331,-18.94
26.52586,-97.60644,-18.56
26.53968,-97.67047,-17.73
26.53958,-97.71336,-16.51
26.50672,-97.65951,-18.51
26.50983,-97.71877,-16.45
26.53996,-97.72133,-16.59
26.53848,-97.67871,-16.77
26.51646,-97.73323,-15.29
26.51219,-97.71618,-16.47
26.50767,-97.60970,-17.74
26.53832,-97.70431,-16.42
26.53888,-97.68298,-16.07
26.53885,-97.70915,-15.57
26.52091,-97.65309,-16.91
26.53475,-97.73145,-15.90
26.53944,-97.63303,-19.07
26.50757,-97.63854,-18.81
26.51633,-97.70563,-15.96
26.51772,-97.62240,-18.40
26.50626,-97.67098,-17.68
26.51928,-97.61668,-18.44
26.52110,-97.67340,-18.39
26.53710,-97.63633,-18.25
26.51343,-97.62843,-18.56
26.53957,-97.68750,-16.49
26.51459,-97.62491,-18.54
26.51421,-97.70810,-16.64
26.51722,-97.69886,-16.76
26.50632,-97.66727,-17.99
26.53994,-97.72884,-16.48
26.52083,-97.60622,-18.32
26.53146,-97.60981,-19.24
26.52074,-97.61317,-18.52
26.50994,-97.69282,-17.56
26.50637,-97.66309,-18.52
26.52479,-97.63162,-18.53
26.53192,-97.64220,-17.63
26.51480,-97.60611,-19.45
26.50930,-97.68603,-17.93
26.53883,-97.69967,-16.31
26.52241,-97.64953,-17.52
26.52942,-97.62482,-18.63
26.53195,-97.60633,-19.22
26.51257,-97.63327,-18.59
26.51154,-97.60780,-17.79
26.50955,-97.65701,-18.59
26.50850,-97.63485,-18.41
26.53888,-97.69138,-16.44
26.53039,-97.61700,-18.75
26.50976,-97.69810,-16.88
34.96865,-98.31049,394.95
34.99414,-98.39734,407.25
34.94060,-98.31461,379.94
26.52353,-97.63525,-18.02
34.98155,-98.39996,401.18
35.01214,-98.42506,415.82
26.53924,-97.69576,-16.35
34.99762,-98.43865,395.34
34.99580,-98.43400,396.59
26.53955,-97.71716,-16.48
26.53921,-97.66688,-17.76
26.52998,-97.62118,-18.72
26.52444,-97.64666,-17.59
35.01679,-98.44772,416.18
40.20069,-87.80969,184.19
40.23209,-87.83559,184.23
40.17759,-87.88229,170.30
40.26699,-87.97039,189.56
34.99439,-98.40186,402.71
40.25339,-87.88699,190.50
35.01839,-118.25949,938.57
35.05251,-98.44286,405.28
34.99382,-98.39418,405.87
34.99228,-98.38637,399.72
34.93869,-98.29295,395.56
40.24229,-87.98350,194.28
40.20449,-87.83959,202.36
40.24309,-88.00479,192.62
40.19169,-87.79589,184.56
35.02654,-98.45100,409.33
34.98134,-98.36802,397.23
40.18829,-87.81609,188.07
35.02810,-118.36419,1312.56
35.03859,-118.37398,1423.71
35.04563,-118.37973,1345.87
35.04310,-118.38238,1334.27
35.02959,-118.36119,1287.57
35.03030,-118.36039,1298.40
35.03429,-118.36439,1312.98
35.03569,-118.36929,1365.23
35.04369,-118.38149,1349.39
35.02900,-118.36209,1275.16
35.03699,-118.36729,1329.23
35.04409,-118.35579,1257.13
35.04440,-118.31988,1139.59
35.04380,-118.32129,1142.96
35.05049,-118.37469,1315.51
32.92099,-101.54899,868.59
36.12889,-84.34789,952.17
36.11489,-84.33559,988.59
32.92410,-101.56109,872.25
35.03780,-118.30729,1073.53
26.52043,-97.68990,-17.95
35.02703,-98.36665,391.10
35.03085,-98.44267,400.06
34.97487,-98.39875,400.46
34.98759,-118.22539,857.22
34.98589,-118.22599,856.38
35.00489,-118.22659,872.48
34.98959,-118.25129,894.91
35.02219,-118.23498,889.89
35.00409,-118.23759,892.43
34.99239,-118.24829,896.74
34.98360,-118.22689,855.40
34.99120,-118.22439,859.38
35.00010,-118.23138,878.63
34.99730,-118.22379,863.78
35.00520,-118.23689,892.31
34.98880,-118.22499,857.84
33.91489,-116.71839,394.51
35.03820,-118.33369,1183.14
33.91617,-116.71040,387.08
33.91370,-116.71839,394.52
33.91497,-116.71437,391.00
33.91325,-116.71040,385.68
33.91729,-116.71439,392.29
33.91560,-116.70639,382.66
33.91199,-116.71839,395.80
33.91621,-116.70239,379.90
33.91678,-116.71034,387.24
33.91439,-116.71439,390.84
33.91679,-116.70639,382.83
33.91669,-116.71439,391.50
33.91320,-116.71439,391.03
33.91209,-116.71439,391.23
33.91740,-116.70639,383.06
33.91439,-116.71039,386.35
33.91380,-116.71439,390.88
33.91264,-116.71038,384.92
33.91209,-116.71039,384.54
33.91559,-116.71035,386.84
33.91556,-116.71440,391.20
33.91315,-116.71837,394.53
33.91501,-116.71037,386.68
41.10049,-89.68539,219.61
33.91510,-116.70239,380.81
33.91613,-116.71437,391.30
33.91740,-116.70239,379.32
33.91380,-116.71039,385.98
33.91259,-116.71439,391.19
41.03989,-89.61900,223.54
33.91569,-116.71719,393.79
41.08049,-89.57529,204.91
41.10009,-89.62229,209.38
41.08179,-89.64839,228.72
41.04419,-89.59550,231.00
33.91146,-116.71440,391.56
41.06689,-89.59609,227.70
41.09679,-89.66339,229.45
41.02469,-89.57369,197.44
41.08149,-89.66709,209.91
41.09163,-89.68861,211.37
41.08429,-89.65279,229.75
41.13499,-89.64269,206.46
33.91685,-116.70237,379.57
41.03819,-89.60549,235.07
32.74339,-100.82509,718.11
33.91569,-116.70239,380.43
41.03899,-89.59339,224.43
33.91729,-116.71829,395.17
41.10589,-89.66840,227.08
42.81329,-115.04909,1029.97
41.08269,-89.61669,215.57
41.08179,-89.58060,208.83
41.02619,-89.57749,203.10
41.10749,-89.68579,219.93
41.09549,-89.68869,210.33
41.06739,-89.56290,203.74
41.02519,-89.59979,220.66
41.10749,-89.67889,227.77
35.03280,-118.37209,1371.66
35.02710,-118.37219,1445.73
35.05080,-118.38099,1370.38
35.02760,-118.37099,1444.96
35.02911,-118.36703,1354.86
35.02359,-118.35539,1261.44
35.05380,-118.38729,1470.17
35.05109,-118.37979,1354.04
35.02829,-118.36758,1364.04
35.02620,-118.37419,1495.50
35.04720,-118.31229,1129.74
35.05040,-118.39329,1513.40
36.12709,-84.34419,933.95
40.38809,-78.55510,793.22
36.12849,-84.34570,946.97
35.02610,-118.34739,1231.70
32.30833,-100.02721,715.90
33.91506,-116.70638,382.64
33.91620,-116.70639,382.71
41.06929,-89.60989,229.39
42.87180,-115.01749,1016.75
42.84329,-115.03669,1038.95
42.88289,-115.01729,990.05
42.87470,-115.01739,1003.18
42.87750,-115.01739,998.50
42.88039,-115.01729,994.44
42.84580,-115.03659,1035.87
42.84699,-115.03659,1034.56
40.99019,-88.44689,181.22
42.84209,-115.03669,1040.41
42.84459,-115.03669,1037.64
41.00189,-88.45209,175.15
41.01209,-88.46310,177.40
40.97079,-88.42760,184.24
40.98229,-88.47430,182.85
41.00169,-88.44869,176.62
41.01219,-88.45719,173.84
40.96159,-88.46619,187.50
40.96809,-88.44109,186.55
42.87040,-115.01749,1022.45
40.97129,-88.48529,181.22
42.87609,-115.01739,1000.14
40.96189,-88.43749,185.37
41.01319,-88.45129,176.12
42.88160,-115.01729,992.67
42.87320,-115.01739,1010.66
34.99849,-118.26499,921.77
34.99730,-118.26799,922.92
35.02200,-118.25869,939.64
35.01160,-118.24359,905.69
34.99589,-118.27219,923.75
35.01289,-118.25249,921.84
35.02230,-118.26369,950.94
35.01490,-118.24199,903.30
35.02193,-118.22455,871.11
35.00029,-118.25239,910.84
35.02840,-118.21869,859.24
35.00299,-118.22869,875.65
35.02340,-118.23399,888.12
34.99350,-118.25499,903.66
34.99810,-118.24229,894.08
34.99139,-118.24929,896.22
34.99600,-118.24389,896.03
35.03350,-118.21579,853.29
34.99250,-118.22429,860.88
35.02309,-118.22339,868.36
34.98880,-118.25239,894.62
34.99488,-118.22399,862.64
34.98259,-118.22759,855.59
35.00629,-118.23619,891.51
34.99849,-118.22369,864.14
35.16948,-102.26007,1156.88
43.00579,-106.02119,1721.12
33.91735,-116.71034,387.53
35.17242,-102.26741,1161.76
43.03309,-106.00149,1744.57
35.20406,-102.26565,1167.84
42.98869,-106.01309,1682.84
42.98709,-106.03029,1710.42
35.22661,-102.35460,1191.94
42.99509,-106.02129,1724.03
35.21228,-102.35052,1194.85
35.18180,-102.31668,1178.62
35.22203,-102.32352,1190.65
35.21595,-102.29962,1177.89
35.17391,-102.27114,1162.24
35.20015,-102.31551,1178.71
35.21172,-102.28431,1175.55
43.03109,-106.00069,1762.00
35.19207,-102.29965,1169.96
35.20856,-102.27683,1174.69
35.20168,-102.35453,1194.53
35.18627,-102.32787,1183.51
35.22053,-102.31978,1188.88
42.98939,-106.02899,1707.29
35.63379,-98.05449,407.18
35.18765,-102.35516,1190.58
42.98189,-106.03079,1682.87
35.61429,-98.01879,406.53
35.20076,-102.34521,1192.17
35.16634,-102.28109,1164.55
35.18250,-102.30283,1173.72
35.21526,-102.35796,1196.15
