lat,lng,height
43.10489,-74.89980,408.30
43.11359,-74.88900,454.29
43.12259,-74.90440,406.31
43.09809,-74.90390,368.76
43.19279,-74.88230,503.71
43.18719,-74.89370,517.90
43.19999,-74.90320,517.86
43.13819,-74.89889,395.56
43.20419,-74.90530,510.45
43.18999,-74.89400,521.94
43.19729,-74.90200,511.83
43.15449,-74.90739,422.09
43.08879,-74.90490,344.33
43.19289,-74.89350,520.67
43.20679,-74.90470,500.04
43.12749,-74.89120,437.45
43.20109,-74.89260,506.20
43.11409,-74.90459,383.13
43.19829,-74.89210,516.00
43.18959,-74.88180,505.26
43.19569,-74.89360,511.08
43.08849,-74.86580,358.61
43.08469,-74.86740,383.16
43.12529,-74.89580,433.47
43.16289,-74.90050,437.24
43.09539,-74.90470,364.07
43.11829,-74.89410,436.22
43.07779,-74.87160,331.74
43.13559,-74.90070,407.12
43.12839,-74.90330,401.57
42.75949,-78.41340,437.38
42.76119,-78.35670,450.69
42.77779,-78.35850,459.55
42.70899,-78.36089,447.90
42.76589,-78.42550,411.14
42.72449,-78.40760,445.45
42.77249,-78.40550,429.21
42.76719,-78.36060,447.07
42.74879,-78.40880,450.96
42.71819,-78.37990,485.57
42.73179,-78.38390,469.37
42.77289,-78.42270,414.56
42.71049,-78.37880,493.43
42.73959,-78.40649,453.85
42.72719,-78.40700,445.73
42.72439,-78.38330,480.95
42.74439,-78.39700,462.45
42.76539,-78.41499,432.16
42.75259,-78.39860,456.06
42.77319,-78.36130,455.86
42.74379,-78.41170,444.62
42.75469,-78.41280,443.53
42.75729,-78.41180,443.87
42.77609,-78.40910,418.45
42.75129,-78.40950,453.84
42.73129,-78.39420,470.69
42.73149,-78.41040,433.83
42.72229,-78.38229,480.25
42.70709,-78.37270,482.15
42.72659,-78.38480,481.11
42.77799,-78.41219,410.07
42.71789,-78.40640,430.73
42.72939,-78.39300,472.89
42.75029,-78.39660,459.09
42.75519,-78.39760,453.33
42.76139,-78.41510,434.64
42.75049,-78.34040,510.30
42.70249,-78.37100,467.88
42.72049,-78.37220,466.53
42.77949,-78.42680,408.08
42.72709,-78.39180,476.39
42.78089,-78.41209,405.24
42.74189,-78.40929,449.20
42.77719,-78.42580,406.49
42.74799,-78.39460,456.07
42.75899,-78.42480,422.22
42.71849,-78.37019,465.62
42.71089,-78.36259,448.38
42.76529,-78.35599,462.69
42.72039,-78.40649,439.36
42.73489,-78.40340,454.27
42.77519,-78.42380,407.06
42.72039,-78.38080,483.09
42.74229,-78.39490,464.52
42.70629,-78.35989,448.06
42.72959,-78.38219,469.66
42.71489,-78.40829,422.81
42.71339,-78.37590,484.03
42.77419,-78.40760,420.04
42.73509,-78.39629,465.36
42.72249,-78.40710,442.18
42.75219,-78.34390,511.08
42.76759,-78.40680,434.40
42.75309,-78.41080,448.92
42.73999,-78.39349,467.96
42.73319,-78.39480,469.03
42.77579,-78.35689,464.41
42.76169,-78.42720,418.12
42.70819,-78.37720,483.52
42.76769,-78.41550,427.61
42.74649,-78.40749,456.20
42.72879,-78.40900,437.35
42.75429,-78.34520,504.85
42.76569,-78.40620,440.58
42.73499,-78.38409,470.38
42.32399,-77.51130,601.17
42.31669,-77.52150,585.31
42.29599,-77.53429,626.09
42.30021,-77.52371,620.51
42.32228,-77.55162,601.40
42.28759,-77.52110,625.71
42.28303,-77.52536,627.38
42.34139,-77.56860,563.08
42.33391,-77.55353,602.41
42.30654,-77.55302,611.76
42.30319,-77.52460,633.58
42.31945,-77.52335,602.94
42.33889,-77.56750,581.82
42.29925,-77.55455,551.63
42.32894,-77.50411,549.73
42.30649,-77.52650,633.01
42.29314,-77.53743,610.31
42.31229,-77.55290,618.93
42.33143,-77.50311,533.37
42.32579,-77.55030,593.25
42.30939,-77.55280,610.13
42.31356,-77.51985,582.83
42.28815,-77.52665,628.09
42.32839,-77.55003,588.76
42.30267,-77.55470,578.77
42.29929,-77.53390,634.19
42.33139,-77.55152,594.07
44.86380,-74.05856,408.38
44.85702,-74.09064,384.24
44.89021,-74.08926,339.17
44.86905,-74.09695,379.19
44.90538,-74.09845,301.71
44.91636,-74.12654,243.90
44.86867,-74.08466,392.35
44.87500,-74.08020,365.07
44.91459,-74.10477,278.21
44.86622,-74.06017,397.50
44.87017,-74.06683,371.04
44.90467,-74.12485,271.48
44.86552,-74.11893,350.46
44.85980,-74.09189,383.76
44.88653,-74.08618,344.01
44.86956,-74.11829,349.12
44.87176,-74.07203,365.71
44.89607,-74.12339,287.39
44.87968,-74.10792,343.26
44.86443,-74.08400,389.77
44.87347,-74.11859,342.76
44.90791,-74.12537,270.20
44.87505,-74.09978,363.82
44.87998,-74.08287,353.50
44.88390,-74.08277,346.32
44.89919,-74.12347,279.41
44.91916,-74.12751,227.55
44.85684,-74.07574,418.84
44.89962,-74.09516,317.65
44.87203,-74.09815,368.14
44.91149,-74.10194,293.98
44.88544,-74.09963,343.08
44.90720,-74.10235,299.61
44.86248,-74.08150,395.96
44.85994,-74.07686,415.59
44.88879,-74.10395,325.30
